,average_price,last_price,buy_trades_count,sell_trades_count,trades_count_imb,base_volume,quote_volume,mean_gas,mean_gas_price,mean_gas_value
2023-08-01 00:00:00+00:00,1856.912525299455,1864.6567282080334,6.0,2,0.25,34.35025564340937,63713.34192800001,241526.625,24.220242176,0.00582820108411648
2023-08-01 00:01:00+00:00,1857.4702431092371,1862.684561462381,1.0,2,0.6666666666666666,2.863094811317034,5317.070153000001,205150.66666666666,25.017292799999996,0.005075797489666731
2023-08-01 00:02:00+00:00,1858.2204578472827,1854.8742286409934,1.0,3,0.75,28.10800963394883,52190.835415999994,203413.5,26.13004544,0.005358206682368
2023-08-01 00:03:00+00:00,,,0.0,0,,0.0,0.0,,,
2023-08-01 00:04:00+00:00,1858.9720417877238,1857.0577205203049,2.0,8,0.8,37.865431407356255,70344.019581,205201.0,28.5252560896,0.005916191550248756
2023-08-01 00:05:00+00:00,1859.5303209653255,1857.2091680770957,1.0,2,0.6666666666666666,8.422039014101985,15655.564026,200737.33333333334,25.126965930666668,0.005017377937926826
2023-08-01 00:06:00+00:00,1856.1727413320314,1855.131276218067,1.0,1,0.5,25.56097500143739,47419.015172,183517.5,26.899597312,0.004981610622244864
2023-08-01 00:07:00+00:00,,,0.0,0,,0.0,0.0,,,
2023-08-01 00:08:00+00:00,1855.6058791410956,1856.3801204742203,2.0,2,0.5,24.947131517173503,46274.74886200001,339479.0,23.764731904,0.007773736599648256
2023-08-01 00:09:00+00:00,,,0.0,0,,0.0,0.0,,,
2023-08-01 00:10:00+00:00,1859.0593787479868,1854.6834662810415,2.0,4,0.6666666666666666,3.501288535459312,6498.21046,226698.0,34.531376810666664,0.008027089081744383
2023-08-01 00:11:00+00:00,1858.9677309137762,1854.5417935627427,1.0,2,0.6666666666666666,27.18993554563587,50482.506122,241551.33333333334,23.61365640533333,0.005741622516018517
2023-08-01 00:12:00+00:00,1854.7565819346949,1854.2765327430766,3.0,0,0.0,4.799990067609491,8902.306555,262686.6666666667,68.27892599466666,0.017326715976354476
2023-08-01 00:13:00+00:00,1859.6327496072415,1856.8457072584638,0.0,3,1.0,0.9221465432598944,1713.26,172547.33333333334,22.025777834666666,0.0038258016917667842
2023-08-01 00:14:00+00:00,1856.9735434163135,1857.0942285322028,0.0,2,1.0,27.190698592419473,50495.625,196464.5,21.018998784,0.004167192126593024
2023-08-01 00:15:00+00:00,1859.8019470491436,1865.4577428202863,2.0,3,0.6,7.040672439684498,13075.473543,180830.0,25.488850124800003,0.004548903036845671
2023-08-01 00:16:00+00:00,1862.2893079206667,1865.5850076342347,1.0,2,0.6666666666666666,8.12269352670902,15105.776999,191731.0,23.058451114666667,0.004412502321609387
2023-08-01 00:17:00+00:00,1857.499639719321,1855.5799234318945,4.0,2,0.3333333333333333,38.1331215273548,70799.20655599999,143866.0,23.304084138666667,0.0033321367270516054
2023-08-01 00:18:00+00:00,,,0.0,0,,0.0,0.0,,,
2023-08-01 00:19:00+00:00,1855.9759987038606,1857.426943731086,2.0,1,0.3333333333333333,1.0957070664878552,2032.671103,191723.66666666666,23.710678357333336,0.0046414003352289275
2023-08-01 00:20:00+00:00,1856.1827315664527,1854.6987646076652,1.0,1,0.5,28.082155688194685,52163.822843,188261.5,25.615991808,0.004855276628050944
2023-08-01 00:21:00+00:00,1856.8449078372462,1857.9351105841354,2.0,3,0.6,100.28102077113344,186210.368559,290436.0,25.341499392,0.007344454873101926
2023-08-01 00:22:00+00:00,1857.7061935963852,1858.3224445364624,2.0,3,0.6,50.512733291653646,93834.918124,332967.0,28.0425095168,0.008939872900480615
2023-08-01 00:23:00+00:00,1855.8226929791315,1858.5634462876776,2.0,1,0.3333333333333333,28.024523884006662,52080.743509,192155.33333333334,25.41707264,0.00487310955309056
2023-08-01 00:24:00+00:00,1856.8582467193257,1856.7744748611724,4.0,0,0.0,11.81307523967295,21934.983346,276763.75,29.803154944,0.00794635562157312
